Date,Visit Count
8/1/2022,28
8/2/2022,11
8/3/2022,15
8/4/2022,13
8/5/2022,19
8/6/2022,26
8/7/2022,17
8/8/2022,14
8/9/2022,16
8/10/2022,23
8/11/2022,20
8/12/2022,10
8/13/2022,23
8/14/2022,12
8/15/2022,24
8/16/2022,6
8/17/2022,18
8/18/2022,10
8/19/2022,21
8/20/2022,15
8/21/2022,12
8/22/2022,13
8/23/2022,13
8/24/2022,15
8/25/2022,14
8/26/2022,15
8/27/2022,13
8/28/2022,14
8/29/2022,14
8/30/2022,18
8/31/2022,11
9/1/2022,16
9/2/2022,25
9/3/2022,18
9/4/2022,24
9/5/2022,31
9/6/2022,19
9/7/2022,13
9/8/2022,16
9/9/2022,17
9/10/2022,12
9/11/2022,13
9/12/2022,16
9/13/2022,57
9/14/2022,63
9/15/2022,62
9/16/2022,51
9/17/2022,44
9/18/2022,20
9/19/2022,73
9/20/2022,61
9/21/2022,64
9/22/2022,38
9/23/2022,56
9/24/2022,43
9/25/2022,52
9/26/2022,75
9/27/2022,55
9/28/2022,59
9/29/2022,50
9/30/2022,38
10/1/2022,50
10/2/2022,56
10/3/2022,65
10/4/2022,56
10/5/2022,59
10/6/2022,56
10/7/2022,46
10/8/2022,42
10/9/2022,57
10/10/2022,70
10/11/2022,43
10/12/2022,47
10/13/2022,55
10/14/2022,49
10/15/2022,52
10/16/2022,63
10/17/2022,68
10/18/2022,59
10/19/2022,77
10/20/2022,78
10/21/2022,57
10/22/2022,46
10/23/2022,69
10/24/2022,81
10/25/2022,82
10/26/2022,65
10/27/2022,68
10/28/2022,76
10/29/2022,46
10/30/2022,75
10/31/2022,53
11/1/2022,64
11/2/2022,67
11/3/2022,75
11/4/2022,71
11/5/2022,58
11/6/2022,62
11/7/2022,83
11/8/2022,63
11/9/2022,67
11/10/2022,62
11/11/2022,62
11/12/2022,65
11/13/2022,57
11/14/2022,85
11/15/2022,81
11/16/2022,78
11/17/2022,51
11/18/2022,59
11/19/2022,62
11/20/2022,66
11/21/2022,68
11/22/2022,69
11/23/2022,71
11/25/2022,88
11/26/2022,65
11/27/2022,85
11/28/2022,92
11/29/2022,84
11/30/2022,71
12/1/2022,72
12/2/2022,69
12/3/2022,54
12/4/2022,64
12/5/2022,67
12/6/2022,75
12/7/2022,68
12/8/2022,58
12/9/2022,73
12/10/2022,60
12/11/2022,69
12/12/2022,97
12/13/2022,98
12/14/2022,77
12/15/2022,80
12/16/2022,77
12/17/2022,62
12/18/2022,76
12/19/2022,106
12/20/2022,85
12/21/2022,69
12/22/2022,100
12/23/2022,55
12/24/2022,53
12/26/2022,99
12/27/2022,81
12/28/2022,78
12/29/2022,69
12/30/2022,69
12/31/2022,61
1/1/2023,47
1/2/2023,71
1/3/2023,64
1/4/2023,62
1/5/2023,53
1/6/2023,57
1/7/2023,51
1/8/2023,49
1/9/2023,61
1/10/2023,47
1/11/2023,60
1/12/2023,47
1/13/2023,42
1/14/2023,36
1/15/2023,32
1/16/2023,34
1/17/2023,47
1/18/2023,47
1/19/2023,42
1/20/2023,48
1/21/2023,39
1/22/2023,46
1/23/2023,54
1/24/2023,46
1/25/2023,46
1/26/2023,44
1/27/2023,56
1/28/2023,53
1/29/2023,41
1/30/2023,49
1/31/2023,54
2/1/2023,44
2/2/2023,42
2/3/2023,41
2/4/2023,46
2/5/2023,58
2/6/2023,61
2/7/2023,46
2/8/2023,59
2/9/2023,51
2/10/2023,57
2/11/2023,42
2/12/2023,54
2/13/2023,65
2/14/2023,62
2/15/2023,67
2/16/2023,54
2/17/2023,43
2/18/2023,54
2/19/2023,48
2/20/2023,53
2/21/2023,65
2/22/2023,32
2/23/2023,46
2/24/2023,45
2/25/2023,39
2/26/2023,55
2/27/2023,57
2/28/2023,52
3/1/2023,57
3/2/2023,56
3/3/2023,61
3/4/2023,36
3/5/2023,53
3/6/2023,72
3/7/2023,57
3/8/2023,44
3/9/2023,64
3/10/2023,46
3/11/2023,49
3/12/2023,57
3/13/2023,66
3/14/2023,46
3/15/2023,44
3/16/2023,56
3/17/2023,54
3/18/2023,47
3/19/2023,75
3/20/2023,62
3/21/2023,61
3/22/2023,75
3/23/2023,52
3/24/2023,44
3/25/2023,45
3/26/2023,50
3/27/2023,48
3/28/2023,38
3/29/2023,61
3/30/2023,51
3/31/2023,47
4/1/2023,46
4/2/2023,46
4/3/2023,47
4/4/2023,47
4/5/2023,62
4/6/2023,47
4/7/2023,42
4/8/2023,39
4/9/2023,38
4/10/2023,54
4/11/2023,47
4/12/2023,53
4/13/2023,53
4/14/2023,53
4/15/2023,41
4/16/2023,57
4/17/2023,53
4/18/2023,46
4/19/2023,49
4/20/2023,50
4/21/2023,47
4/22/2023,48
4/23/2023,46
4/24/2023,50
4/25/2023,59
4/26/2023,63
4/27/2023,42
4/28/2023,44
4/29/2023,47
4/30/2023,56
5/1/2023,60
5/2/2023,61
5/3/2023,53
5/4/2023,59
5/5/2023,54
5/6/2023,57
5/7/2023,45
5/8/2023,58
5/9/2023,61
5/10/2023,47
5/11/2023,43
5/12/2023,56
5/13/2023,52
5/14/2023,54
5/15/2023,69
5/16/2023,66
5/17/2023,48
5/18/2023,51
5/19/2023,51
5/20/2023,61
5/21/2023,61
5/22/2023,64
5/23/2023,64
5/24/2023,59
5/25/2023,61
5/26/2023,48
5/27/2023,49
5/28/2023,50
5/29/2023,71
5/30/2023,69
5/31/2023,60
6/1/2023,56
6/2/2023,56
6/3/2023,61
6/4/2023,63
6/5/2023,53
6/6/2023,52
6/7/2023,43
6/8/2023,48
6/9/2023,55
6/10/2023,47
6/11/2023,49
6/12/2023,63
6/13/2023,50
6/14/2023,41
6/15/2023,50
6/16/2023,43
6/17/2023,56
6/18/2023,57
6/19/2023,46
6/20/2023,52
6/21/2023,44
6/22/2023,56
6/23/2023,49
6/24/2023,47
6/25/2023,38
6/26/2023,51
6/27/2023,44
6/28/2023,63
6/29/2023,37
6/30/2023,32
7/1/2023,43
7/2/2023,52
7/3/2023,57
7/4/2023,36
7/5/2023,60
7/6/2023,49
7/7/2023,43
7/8/2023,51
7/9/2023,41
7/10/2023,37
7/11/2023,43
7/12/2023,34
7/13/2023,42
7/14/2023,41
7/15/2023,57
7/16/2023,50
7/17/2023,58
7/18/2023,42
7/19/2023,50
7/20/2023,43
7/21/2023,60
7/22/2023,50
7/23/2023,59
7/24/2023,46
7/25/2023,38
7/26/2023,40
7/27/2023,33
7/28/2023,59
7/29/2023,44
7/30/2023,43
7/31/2023,53
8/1/2023,41
8/2/2023,45
8/3/2023,43
8/4/2023,39
8/5/2023,45
8/6/2023,43
8/7/2023,53
8/8/2023,33
8/9/2023,49
8/10/2023,38
8/11/2023,46
8/12/2023,46
8/13/2023,44
8/14/2023,63
8/15/2023,40
8/16/2023,32
8/17/2023,39
8/18/2023,43
8/19/2023,46
8/20/2023,37
8/21/2023,53
8/22/2023,49
8/23/2023,37
8/24/2023,47
8/26/2023,49
8/27/2023,53
8/28/2023,41
8/29/2023,45
8/30/2023,47
8/31/2023,45
9/1/2023,39
9/2/2023,45
9/3/2023,54
9/4/2023,66
9/5/2023,42
9/6/2023,52
9/7/2023,52
9/8/2023,43
9/9/2023,63
9/10/2023,61
9/11/2023,55
9/12/2023,45
9/13/2023,54
9/14/2023,56
9/15/2023,50
9/16/2023,54
9/17/2023,55
9/18/2023,77
9/19/2023,48
9/20/2023,50
9/21/2023,58
9/22/2023,58
9/23/2023,55
9/24/2023,72
9/25/2023,76
9/26/2023,61
9/27/2023,54
9/28/2023,45
9/29/2023,37
9/30/2023,52
10/1/2023,58
10/2/2023,62
10/3/2023,54
10/4/2023,60
10/5/2023,53
10/6/2023,58
10/7/2023,47
10/8/2023,66
10/9/2023,51
10/10/2023,45
10/11/2023,56
10/12/2023,44
10/13/2023,38
10/14/2023,44
10/15/2023,58
10/16/2023,52
10/17/2023,38
10/18/2023,48
10/19/2023,52
10/20/2023,52
10/21/2023,50
10/22/2023,54
10/23/2023,56
10/24/2023,50
10/25/2023,49
10/26/2023,55
10/27/2023,51
10/28/2023,44
10/29/2023,54
10/30/2023,55
10/31/2023,46
11/1/2023,48
11/2/2023,60
11/3/2023,62
11/4/2023,42
11/5/2023,65
11/6/2023,57
11/7/2023,48
11/8/2023,52
11/9/2023,43
11/10/2023,44
11/11/2023,41
11/12/2023,61
11/13/2023,69
11/14/2023,73
11/15/2023,38
11/16/2023,58
11/17/2023,62
11/18/2023,69
11/19/2023,63
11/20/2023,61
11/21/2023,62
11/22/2023,67
11/24/2023,62
11/25/2023,65
